里俚	亻 
免俛	亻 
甹俜	亻 
呆保	亻 
刂俞	人 一 月 
矣俟	亻 
夹侠	亻 
言信	亻 
彡俢	亻 夂 
弟俤	亻 
车伡	亻 
彡修	攸 
府俯	亻 
和俰	亻 
具俱	亻 
効俲	亻 
非俳	亻 
表俵	亻 
叔俶	亻 
肥俷	亻 
奉俸	亻 
奄俺	人 
备俻	亻 
育俼	亻 
欣俽	亻 
卑俾	亻 
虎俿	亻 
长伥	亻 
知倁	亻 
并併	亻 
咎倃	亻 
肴倄	亻 
卒倅	亻 
两俩	亻 
宛倇	亻 
来俫	亻 
㔾仓	人 
忩倊	亻 
丨个	人 
官倌	亻 
咅倍	亻 
典倎	亻 
犬倏	攸 
火倐	攸 
门们	亻 
到倒	亻 
炎倓	亻 
屈倔	亻 
垂倕	亻 
羊幸	土 
朋倗	亻 
尚倘	亻 
矢候	亻 丨 乛 一 
奇倚	亻 
其倛	亻 
周倜	亻 
人倝	十 日 十 
京倞	亻 
昔借	亻 
隹倠	人 
昌倡	亻 
疌倢	亻 
放倣	亻 
直値	亻 
空倥	亻 
卷倦	亻 
宗倧	亻 
居倨	亻 
青倩	亻 
兒倪	亻 
仑伦	亻 
卓倬	亻 
委倭	亻 
果倮	亻 
松倯	亻 
夌倰	亻 
昆倱	亻 
事倳	亻 
奔倴	亻 
武倵	亻 
具倶	亻 
奈倷	亻 
采倸	亻 
佥俭	亻 
耶倻	亻 
直值	亻 
舍倽	亻 
英偀	亻 
爯偁	亻 
前偂	亻 
匽偃	亻 
耎偄	亻 
重偅	亻 
春偆	亻 
叚假	亻 
曷偈	亻 
韦伟	亻 
禹偊	亻 
屏偋	亻 
若偌	亻 
是偍	亻 
畏偎	亻 
扁偏	亻 
彦偐	亻 
易偒	亻 
屋偓	亻 
咢偔	亻 
皆偕	亻 
者偖	亻 
省偗	亻 
品偘	亻 
帝偙	亻 
故做	亻 
臿偛	亻 
亭停	亻 
背偝	亻 
枼偞	亻 
皇偟	亻 
要偠	亻 
甚偡	亻 
秋偢	亻 
音偣	亻 
酋偤	亻 
建健	亻 
疋偦	亻 女 
多偧	亻 大 
奓偨	亻 
畐偪	亻 
待偫	亻 
怱偬	亻 
面偭	亻 
咠偮	亻 
哀偯	亻 
契偰	亻 
盾偱	亻 
思偲	亻 
耑偳	亻 
则侧	亻 
贞侦	亻 
禺偶	亻 
俞偷	亻 
俞偷	亻 
备偹	人 丨 
昝偺	亻 
疌偼	亻 
为伪	亻 
鬼傀	亻 
叟傁	亻 
虒傂	亻 
素傃	亻 
眘傄	亻 
寸傅	亻 甫 
原傆	亻 
茸傇	亻 
栗傈	亻 
辱傉	亻 
冓傋	亻 
馬傌	亻 
旁傍	人 
真傎	亻 
唐傏	亻 
高傐	亻 
灬杰	木 
奚傒	亻 
扇傓	亻 
兼傔	亻 丶 丶 
隺傕	亻 
仓伧	亻 
畜傗	亻 
十伞	人 丷 
田备	夂 
攵傚	人 交 
容傛	亻 
羽傝	亻 日 
差傞	亻 
翁傟	亻 
竝傡	亻 
豕家	宀 
泰傣	亻 
累傫	亻 
崔催	亻 
用佣	亻 
曹傮	亻 
悤傯	亻 
崩傰	亻 
敖傲	人 
专传	亻 
区伛	亻 
责债	亻 
戚傶	亻 
力伤	亻 丿 一 
爽傸	亻 
竟傹	亻 
祭傺	亻 
夂傻	亻 囟 儿 
大傼	亻 革 
章傽	亻 
顷倾	亻 
焉傿	亻 
悉僁	亻 
娄偻	亻 
用僃	人 艸 勹 
票僄	亻 
又仅	亻 
翏僇	亻 
曼僈	亻 
一佥	人 一 小 
己僊	亻 覀 大 
攵僌	亻 車 
巽僎	亻 
象像	亻 
善僐	亻 
乔侨	亻 
窘僒	亻 
尊僔	亻 
卜仆	亻 
喜僖	亻 
敞僘	亻 
黃僙	亻 
尞僚	亻 
欺僛	亻 
登僜	亻 
孱僝	亻 
为伪	亻 
番僠	亻 
惠僡	亻 
舜僢	亻 
替僣	亻 
尧侥	亻 
就僦	亻 
曽僧	亻 
贲偾	亻 
矞僪	亻 
焦僬	亻 
朁僭	亻 
童僮	亻 
粦僯	亻 
人僰	棘 
隹雇	户 
粟僳	亻 
畺僵	亻 
葉僷	亻 
禁僸	亻 
