俚	亻 里
俛	亻 免
俜	亻 甹
保	亻 呆
俞	人 一 月 刂
俟	亻 矣
侠	亻 夹
信	亻 言
俢	亻 夂 彡
俤	亻 弟
伡	亻 车
修	攸 彡
俯	亻 府
俰	亻 和
俱	亻 具
俲	亻 効
俳	亻 非
俵	亻 表
俶	亻 叔
俷	亻 肥
俸	亻 奉
俺	人 奄
俻	亻 备
俼	亻 育
俽	亻 欣
俾	亻 卑
俿	亻 虎
伥	亻 长
倁	亻 知
併	亻 并
倃	亻 咎
倄	亻 肴
倅	亻 卒
俩	亻 两
倇	亻 宛
俫	亻 来
仓	人 㔾
倊	亻 忩
个	人 丨
倌	亻 官
倍	亻 咅
倎	亻 典
倏	攸 犬
倐	攸 火
们	亻 门
倒	亻 到
倓	亻 炎
倔	亻 屈
倕	亻 垂
幸	土 羊
倗	亻 朋
倘	亻 尚
候	亻 丨 乛 一 矢
倚	亻 奇
倛	亻 其
倜	亻 周
倝	十 日 十 人
倞	亻 京
借	亻 昔
倠	人 隹
倡	亻 昌
倢	亻 疌
倣	亻 放
値	亻 直
倥	亻 空
倦	亻 卷
倧	亻 宗
倨	亻 居
倩	亻 青
倪	亻 兒
伦	亻 仑
倬	亻 卓
倭	亻 委
倮	亻 果
倯	亻 松
倰	亻 夌
倱	亻 昆
倳	亻 事
倴	亻 奔
倵	亻 武
倶	亻 具
倷	亻 奈
倸	亻 采
俭	亻 佥
倻	亻 耶
值	亻 直
倽	亻 舍
偀	亻 英
偁	亻 爯
偂	亻 前
偃	亻 匽
偄	亻 耎
偅	亻 重
偆	亻 春
假	亻 叚
偈	亻 曷
伟	亻 韦
偊	亻 禹
偋	亻 屏
偌	亻 若
偍	亻 是
偎	亻 畏
偏	亻 扁
偐	亻 彦
偒	亻 易
偓	亻 屋
偔	亻 咢
偕	亻 皆
偖	亻 者
偗	亻 省
偘	亻 品
偙	亻 帝
做	亻 故
偛	亻 臿
停	亻 亭
偝	亻 背
偞	亻 枼
偟	亻 皇
偠	亻 要
偡	亻 甚
偢	亻 秋
偣	亻 音
偤	亻 酋
健	亻 建
偦	亻 女 疋
偧	亻 大 多
偨	亻 奓
偪	亻 畐
偫	亻 待
偬	亻 怱
偭	亻 面
偮	亻 咠
偯	亻 哀
偰	亻 契
偱	亻 盾
偲	亻 思
偳	亻 耑
侧	亻 则
侦	亻 贞
偶	亻 禺
偷	亻 俞
偷	亻 俞
偹	人 丨 备
偺	亻 昝
偼	亻 疌
伪	亻 为
傀	亻 鬼
傁	亻 叟
傂	亻 虒
傃	亻 素
傄	亻 眘
傅	亻 甫 寸
傆	亻 原
傇	亻 茸
傈	亻 栗
傉	亻 辱
傋	亻 冓
傌	亻 馬
傍	人 旁
傎	亻 真
傏	亻 唐
傐	亻 高
杰	木 灬
傒	亻 奚
傓	亻 扇
傔	亻 丶 丶 兼
傕	亻 隺
伧	亻 仓
傗	亻 畜
伞	人 丷 十
备	夂 田
傚	人 交 攵
傛	亻 容
傝	亻 日 羽
傞	亻 差
傟	亻 翁
傡	亻 竝
家	宀 豕
傣	亻 泰
傫	亻 累
催	亻 崔
佣	亻 用
傮	亻 曹
傯	亻 悤
傰	亻 崩
傲	人 敖
传	亻 专
伛	亻 区
债	亻 责
傶	亻 戚
伤	亻 丿 一 力
傸	亻 爽
傹	亻 竟
傺	亻 祭
傻	亻 囟 儿 夂
傼	亻 革 大
傽	亻 章
倾	亻 顷
傿	亻 焉
僁	亻 悉
偻	亻 娄
僃	人 艸 勹 用
僄	亻 票
仅	亻 又
僇	亻 翏
僈	亻 曼
佥	人 一 小 一
僊	亻 覀 大 己
僌	亻 車 攵
僎	亻 巽
像	亻 象
僐	亻 善
侨	亻 乔
僒	亻 窘
僔	亻 尊
仆	亻 卜
僖	亻 喜
僘	亻 敞
僙	亻 黃
僚	亻 尞
僛	亻 欺
僜	亻 登
僝	亻 孱
伪	亻 为
僠	亻 番
僡	亻 惠
僢	亻 舜
僣	亻 替
侥	亻 尧
僦	亻 就
僧	亻 曽
偾	亻 贲
僪	亻 矞
僬	亻 焦
僭	亻 朁
僮	亻 童
僯	亻 粦
僰	棘 人
雇	户 隹
僳	亻 粟
僵	亻 畺
僷	亻 葉
僸	亻 禁
价	亻 介
僺	亻 喿
僻	亻 辟
僼	亻 豐
僽	亻 愁
僿	亻 塞
仪	亻 义
儁	亻 雋
侬	亻 农
儃	亻 亶
亿	亻 乙
儆	亻 敬
儇	亻 睘
侩	亻 会
俭	亻 佥
儊	亻 楚
儋	亻 詹
儌	亻 敫
傻	亻 囟 儿 夂
傤	亻 载
傧	亻 宾
儒	亻 需
俦	亻 寿
侪	亻 齐
儗	亻 疑
尽	尺 冫
儙	亻 遣
儛	亻 舞
偿	亻 尝
儠	亻 巤
儡	亻 畾
儤	亻 暴
儦	亻 麃
优	亻 尤
儫	亻 豪
储	亻 诸
儳	亻 毚
儴	亻 襄
儵	攸 黑
儶	亻 巂
俪	亻 丽
傩	亻 难
傥	亻 党
俨	亻 严
儽	亻 纍
儾	亻 囊
兀	一 儿
允	厶 儿
兂	厂 尢 旡
元	二 儿
兄	口 儿
充	亠 允
兆	冰 儿 丶 丶
凶	凵 乂
先	丿 土 儿
光	小 兀
兑	丷 口 儿
克	十 口 儿
兑	丷 口 儿
免	刀 口 丨 儿
兔	刀 口 丨 儿 丶
兏	厂 上 儿
児	旧 儿
儿	丿 乚
兓	旡 旡
兔	刀 口 丨 儿 丶
兕	凹 儿
兖	亠 兊
兗	亠 兌
兘	元 台
兛	克 千
兜	匚 白 ㇆ 一 儿
兝	克 分
兞	克 毛
兟	先 先
兠	丬 白 匕 儿
兢	克 克
兣	克 厘
入	乁 丿
兦	丨 一 入
内	冂 人
全	人 王
两	一 冂 丨 人 人
俞	人 一 月 刂
八	丿 乁
公	八 厶
六	亠 八
兮	八 丂
共	十 丨 一 八
兲	王 八
兵	丘 八
其	甘 一 八
具	目 一 八
典	曲 八
兼	丷 一 聿 丨 丨 八
兾	丷 異
艺	艸 乙
冀	北 異
冂	丨 乙
冄	冂 二
圆	囗 员
冇	一 丿 冂
冉	冂 十 一
册	⺆ ⺆ 一
冋	冂 口
再	一 冂 十 一
冏	冂 八 口
